State,Medicinal,Amount,Source,Recreational,Amount,Source
New Jersey,18-Jan-10,3oz,https://www.bizjournals.com/philadelphia/stories/2010/01/18/daily11.html,3-Nov-20,6oz,https://www.nj.com/marijuana/2020/11/election-2020-nj-voters-approve-legal-weed-ballot-question.html
New Mexico,1-Oct-07,8oz,https://norml.org/news/2007/04/05/new-mexico-becomes-twelfth-state-to-authorize-medical-cannabis-use,29-Jun-21,2oz,https://www.abqjournal.com/news/local/cannabis-in-nm-how-will-it-work/article_cffbfa2f-82c6-5d3e-81c5-7e7037214b27.html
New York,14-Jul-14,Unknown,https://www.cbsnews.com/newyork/news/new-york-becomes-23rd-state-to-allow-medical-marijuana/,31-Mar-21,3oz,https://web.archive.org/web/20210331151434/https://www.nytimes.com/2021/03/31/nyregion/cuomo-ny-legal-weed.html
North Carolina,Illegal,N/A,"https://norml.org/laws/north-carolina-penalties-2/#:~:text=Possession%20of%20an%20extract%20of,sentence%20that%20must%20be%20suspended.",Illegal,N/A,https://norml.org/laws/north-carolina-penalties-2/
North Dakota,8-Nov-16,3oz,https://www.nytimes.com/elections/2016/results/north-dakota-ballot-measure-5-medical-marijuana,Illegal,N/A (14g Decriminalized),https://www.vox.com/policy-and-politics/2019/5/10/18563776/north-dakota-marijuana-decriminalization-legalization
Ohio,8-Jun-16,Unknown,https://www.politico.com/story/2016/06/john-kasich-medical-marijuana-ohio-224091,7-Nov-23,2.5oz,https://apnews.com/article/ohio-marijuana-legalization-election-2023-6d15efb27fdcd41e7364f2b7cd3177f4
Olklahoma,26-Jun-18,8oz (3oz Public),https://www.cbsnews.com/news/oklahoma-votes-to-legalize-medical-marijuanna-state-question-788-tuesday/,Illegal,N/A,https://norml.org/laws/oklahoma-penalties-2/
Oregon,3-Nov-98,24oz,Unavailable,4-Nov-14,"2oz Public, 8oz Home",https://web.archive.org/web/20141105120629/http://www.kgw.com/story/news/politics/2014/11/04/measure-91-legalize-marijuana-oregon/18481827/
Pennsylvania,17-Apr-16,Unknown,https://norml.org/laws/pennsylvania-penalties-2,Illegal,N/A,https://norml.org/laws/pennsylvania-penalties-2
Rhode Island,3-Jan-06,2.5oz,https://www.nbcnews.com/id/wbna10696127,25-May-22,"1oz Public, 10oz Home",https://www.wpri.com/news/cannabis-coverage/mckee-to-sign-marijuana-legalization-bill-into-law/
South Carolina,Illegal,N/A,https://norml.org/laws/south-carolina-penalties-2/,Illegal,N/A,https://norml.org/laws/south-carolina-penalties-2/
South Dakota,1-Jul-21,3oz,https://www.argusleader.com/story/news/politics/2020/11/03/2020-election-results-south-dakota-voters-vote-legalize-medical-marijuana/6075719002/,Illegal,N/A,https://norml.org/laws/south-dakota-penalties-2/
Tennessee,Illegal,N/A,https://norml.org/laws/tennessee-penalties-2/,Illegal,N/A,https://norml.org/laws/tennessee-penalties-2/
Texas,Illegal,N/A,https://norml.org/laws/texas-penalties-2/,Illegal,N/A,https://norml.org/laws/texas-penalties-2/
Utah,1-Dec-18,4oz,"https://www.mpp.org/states/utah/summary-of-utahs-medical-cannabis-law/#:~:text=On%20November%206%2C%202018%2C%20Utah,medical%20cannabis%20for%20qualified%20patients.",Illegal,N/A,https://norml.org/laws/utah-penalties-2/
Vermont,19-May-04,2oz,https://norml.org/news/2004/05/20/vermont-approves-amended-medical-marijuana-measure,1-Jul-21,1oz,https://virginiamercury.com/2021/04/07/marijuana-will-be-legal-in-virginia-on-july-1-heres-what-is-and-isnt-permitted-under-the-new-law/
Virginia,10-Aug-20,4oz,https://vadogwood.com/2020/08/10/the-first-medical-marijuana-dispensary-in-virginia-opens-this-month/,1-Jul-21,1oz,https://www.npr.org/2021/04/07/985014557/virginia-16th-state-to-legalize-recreational-pot-latest-to-emphasize-social-equi
Washington,3-Nov-98,3oz,https://www2.sos.wa.gov/elections/initiatives/people.aspx?y=1998,6-Dec-12,1oz,https://norml.org/laws/washington-legalization
West Virginia,1-Jul-19,Unknown,https://www.wvgazettemail.com/news/health/wv-governor-signs-medical-marijuana-into-law/article_47d4eb76-e4c0-5aff-b287-e3eac615023c.html,Illegal,N/A,https://norml.org/laws/west-virginia-penalties-2/
Wisconsin,Illegal,N/A,https://norml.org/laws/wisconsin-penalties-2/,Illegal,N/A,https://norml.org/laws/wisconsin-penalties-2/
Wyoming,Illegal,N/A,https://norml.org/laws/wyoming-penalties-2/,Illegal,N/A,https://norml.org/laws/wyoming-penalties-2/
