Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/13/2014,-118.1292846,33.9404441,Downey,CA,USA,Light,"UFO sighting over Los Angeles, 2013.02.09 at 3:40am",,
4/12/1951,-91.6513048,45.3144409,Chetek,WI,USA,Light,Star size blinking/fast moving white lights- about a dozen,,
8/21/2021,-80.2706044,26.271192,Coral Springs,FL,USA,Circle,Circular object with changing lights as movement changes,,
6/23/2022,-84.5124602,39.1014537,Cincinnati,OH,USA,Circle,6 different circles switching positions in the air,,
4/26/1941,-96.7118751,43.823403,Dell Rapids,SD,USA,Flash,I saw a blue and white flash of light that quickly fell to the earth while I was driving home from school.,,
4/11/1935,-81.8039916,35.0167918,Cowpens,SC,USA,Rectangle,THE DETAILS THAT I HAVE GIVEN ARE TRUE AND EXACT AND FACTUAL.PHILL,,
4/22/1993,-71.4328363,41.9667656,Cumberland,RI,USA,Light,"I saw a bright light off in the distance in MA, to my right, come out of nowhere from the sky and shoot down toward earth at an extreme",,
4/30/1996,-78.837046,42.866775,Buffalo,NY,USA,Cigar,"Witnessed whitish ""tic tac"" shaped craft hovering above tree tops for approximately 5 minutes. Made no noise at all.",,
4/26/1934,-76.1193678,43.1756235,Cicero,NY,USA,Cross,SIGHTING #2: Bluish cross-shaped UFO followed by large conventional aircraft.,,
5/18/2020,-104.8769227,39.579155,Centennial,CO,USA,Formation,Formation of five reflective horizontal diamonds hovering in the shape of a diamond NE of E-470. They hovered in this formation for abo,,
6/2/2020,-85.3063504,37.102841,Columbia,KY,USA,Orb,Orange fireball looking spheres in the sky spotted for the 3rd time over a period of 6 months.,,
10/25/2021,-97.4033191,27.7635302,Corpus Christi,TX,USA,Other,Seven United States Postal workers in Corpus Christi Texas were outside on a break from work at around 6:15pm October 25th 2021. All se,,
10/2/2019,-94.7043983,37.1708926,Crestline,KS,USA,Triangle,Three bright white lights in a perfect triangle pattern that then disappeared to reappear as a blue streak moving at great speed.,,
1/6/2020,-96.7968559,32.7762719,Dallas,TX,USA,Formation,DFW airport,,
11/28/2002,-104.825348,38.8339578,Colorado Springs,CO,USA,Circle,"In my opinion, I witnessed a metor fall from the sky and impact the ground west of Colorado Springs.",,
4/9/1988,-97.68606624,30.256999399999998,Austin,TX,USA,Fireball,Orb or Fireball seen in Austin Tuesday,,
10/19/1998,-84.3557802,41.2844933,Defiance,OH,USA,Triangle,I was pulling out of a drive when I noticed a triangular craft with a light at each corner two white one blue I pulled over to get a be,,
4/18/1969,-79.8817181,40.2922938,Clairton,PA,USA,Light,Sighting on St. Clair.,,
6/1/2000,-85.3094883,35.0457219,Chattanooga,TN,USA,Disk,"My brother and I were out playing basketball and then took a break. As I leaned against a pole, i looked into the sky and saw a really",,
4/15/1934,-82.11323179,38.948391099999995,Cheshire,OH,USA,Light,"Watched white light like airplane without flashing light for approx. 5 mins. Then fade to red light, then faded out and disappeared.",,
5/17/2019,-74.6171489,39.3820672,Egg Harbor Township,NJ,USA,Oval,I saw a cluster of bright lights flying very fast over neighbors house .almost like a giant star.. it stopped and hovered for a few mi,,
5/7/2021,-122.579705,38.5787966,Calistoga,CA,USA,Orb,116 orbs in total traveling the three groups equally spaced apart and traveling at the same speed not following the horizon,,
11/26/2006,-96.0030166,31.3729557,Corinth,TX,USA,Sphere,"I could not sleep, So i got out of bed and went to my back pourch to smoke a cigarette. I got up from my chair and went into the back y",,
