City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
Ridgway,PA,USA,4/22/19774/22/19825/21/19984/18/20244/18/20184/22/1974,0.0,0.0,FireballFormationDiskOrbOrbLight,"3 round shaped craft flying low above ridgway, emitting an orange light while traveling NW to SE in a triangular pattern.high flying orangish crafts were spotted flying in a hexagonal shaped pattern over Ridgway PA around 11:15 PM; heading north.It was a helicopter following case.Orange orb spotted in Ridgway, Pa with color change due to nearby fireworks.Orange orb spotted in Ridgway, Pa.3 high elevation crafts with multi-color lights formed a triangle around the lunar lunar eclipse, then flew away.",0,0
Ridinger Lake,IN,USA,7/4/1976,0.0,0.0,Rectangle,"Large Rectangular Craft with lights on its corners. VERY loud, VERY slow.",0,0
Ridley Park,PA,USA,4/11/19949/16/20224/26/20224/10/19949/28/2006,0.0,0.0,LightCylinderCircleSphereRectangle,"Blue light object falls from sky 10/12/12 PAAt least 3 crafts circling PA NJ DE areaThe light was a perfect circle moving in a circular pattern above the clouds.2 amber colored lights flying in the same flight path and then darting off and vanishing.Appeared as white, two story building shaped object, no wings, moving slowly at low altitude.",0,0
Riegelsville,PA,USA,4/26/2015,0.0,0.0,Changing,Approx. 5:20 AM looking south saw a somewhat cylindrical blinking object at about 35 degrees above the horizon. Assumed it was a plane,0,0
Riegelwood,NC,USA,4/3/1999,0.0,0.0,Circle,i saw i bright object in the sky that left a trail,0,0
Riesel,TX,USA,4/2/1946,0.0,0.0,Sphere,Screeching noise with bright light.,0,0
Rifle,CO,USA,7/20/20014/22/19924/17/19548/12/20027/24/20099/22/20055/21/20034/12/20144/20/20076/15/1975,0.0,0.0,FireballLightSphereCylinderLightLightCircleConeFireballDisk,"Green Fire BallUltra high speed lights caught on slow motion camera in the middle of the day.Week long event so far dont know what they are but not from here.From Rifle, Colorado: The night was clear, Monday August 12th, 2002, close to midnight while laying out on our deck watching for meteoTwo bright lights flying over rifle coloradoBrillant Large Lightbig bright white dotUFOS filmed going in and out of tube in cloudsI noticed the ground light-upLIGHTS OVER HAVERY GAP",0,0
Rifton,NY,USA,4/23/1980,0.0,0.0,Rectangle,Saw a rectangular object fireball orange/reddish/yellow approximately 300 feet up moving in a straight path east northeast direction.,0,0
Riga,MI,USA,12/11/2006,0.0,0.0,Other,We saw pyramid shaped objects in the sky.,0,0
Rigby,ID,USA,3/26/202412/20/20074/28/19504/22/2028,0.0,0.0,TriangleFireballLightCircle,"Three balls of light in a triangle shape that were about two hundred feet off the ground were moving a slow pace.A little line of light riggiling up to space.Two lights flying, one in front of the other, thought they were satellites until the bigger of the two slowed.Seen a yellow light make a 90 degree angle that went straight up and out of sight.",0,0
Riggins,ID,USA,10/17/20084/25/19967/21/20005/3/2005,0.0,0.0,OvalEggFireballOval,Was out hunting and looked up and saw what seemed like a star blinking. Then we put a spotting scope to it and the object remained statLarge white egg with comet-like tail seen above salmon river at french creek.Large slow moving fireball seen in North central IdahoUnbelievable speed and able to stop and hover with no sound.,0,0
Riggs,MO,USA,4/11/1964,0.0,0.0,Light,Blue to Red to White to Green light flashing in the sky to the West.,0,0
