Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
11/12/2019,,,El Pescadero,CA,USA,Orb,"My Wife and I photo 36 bead of lights as they fly down the Mexican Coastline. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",,
12/22/2007,,,El Reno,OK,USA,Changing,"COLOR CHANGING STROBE LIGHT OVER EL RENO, OK",,
4/17/1937,,,El Reno,OK,USA,Oval,UFO over lucky star caught on camera up close.,,
4/15/1946,,,El Reno,OK,USA,Fireball,10 Orange orbs hovering in the sky then faded out.,,
4/17/2002,,,El Reno,OK,USA,Other,Strange Sights into the night!,,
7/23/2023,,,El Reno,OK,USA,Orb,Orb of light flashing arc of light that as it went out like a shock wave lit up the sky and slowly disappeared in cloud of light,,Rocket
9/13/2003,,,El Reno,OK,USA,Triangle,Strange Lights at El Reno Scales,,
12/1/2001,,,El Reno,OK,USA,Formation,One large cigar-shaped craft surrounded by hundreds of smammer crafts all with long trails.,,
7/3/2008,,,El Reno,OK,USA,Diamond,"White diamond shape' (s) over El Reno, Oklahoma",,
1/1/1981,,,El Reno,OK,USA,Disk,New Years 1981 Crashing Disc,,
11/20/2003,,,El Rito,NM,USA,Fireball,"A bright yellow egg-shaped firey object suddenly appeared in the west on 11/20/03 at l7:30 hours, suddenly vanishing and leaving a smok",,
5/27/2021,,,El Rito,NM,USA,Formation,Multiple changing colored lights following a path,Y,
5/28/2009,,,El Rito,NM,USA,Light,"Bright object descended rapidly, leaving a shower of sparks, and turned in a J shape, then stayed the same.",,
1/1/1994,,,El Segundo,CA,USA,Other,"What I'm seeing, please help.",,
4/12/2008,,,El Segundo,CA,USA,Light,3 UFOs flying over LAX airport.,,
1/7/2004,,,El Segundo,CA,USA,Sphere,"High speed ball follows jet, and becomes two smaller objects.",,
1/2/2004,,,El Segundo,CA,USA,Triangle,Bright shiny triangular object droped from the sky then vanished,,
3/3/2002,,,El Segundo,CA,USA,Sphere,silver sphere over refinery by LAX,,
1/9/2006,,,El Segundo,CA,USA,Fireball,"Rotating fire ball moving very fast, few hundred feet above the ground, south east end of LAX",,
1/1/1994,,,El Segundo,CA,USA,Other,"What I'm seeing, please help.",,
4/24/1981,,,El Segundo,CA,USA,Other,I saw a pitch-black flying wing shaped object soar across a brightly lit area and then vanish into the dark.,,
2/18/2009,,,El Segundo,CA,USA,Orb,Floating Orb over LAX,,
4/6/1985,,,El Segundo,CA,USA,Disk,"Sighting off in El Porto (popular surfing area) in El Segundo, CA.",,
2/27/2020,,,El Sobrante,CA,USA,Circle,"There were 20 to 30 Lights flying in a single formation real fast. ((""Starlink"" satellites??))",,
2/16/1975,,,El Sobrante,CA,USA,Circle,"Bright, yellow/orange circle, 10 ft. in diameter, silent, slow moving, 5mph, 50 ft. above ground-2 minutes, chased & threw rocks at it.",,
4/8/2020,,,El Sobrante,CA,USA,Circle,3 circular objects passing in front of moon in El Sobrante California.,,
4/15/2020,,,El Sobrante,CA,USA,Formation,Around 5:20am i looked up and saw a line of ufo's at first i counted 10. ((Starlink satellites)),,
5/30/2001,,,El Sobrante,CA,USA,Disk,"My dog woke me up at 3:20 AM, whining as though he had to go do his duty. It is extremely rare that he will wake me up. I got up, let t",,
4/22/1961,,,El Soreno,CA,USA,Cigar,Large sized electric surveillance drone over Lincoln Heights/El Soreno.,,
12/15/1994,,,El Toro,CA,USA,Light,Saw a light in the valley moving back and fourth directly over the El Toro Marine Corps Air Station. It left straight up when two F/A-1,,
6/15/2002,,,El Toro,CA,USA,Other,Standing at O'neill Reg. park. Facing the top of Saddleback Mtn.Object hung above to the right tip of mountain peak for about 15 min. W,,
3/9/2023,,,El Toro,CA,USA,Other,Mechanical cogwheel looking large objects behind the cloud.,,
12/3/2007,,,El Valle,NM,USA,Sphere,Bright spherical object turning from white/yellow/orange/red moving NE across sky - just disappeared.,,
6/20/1977,,,El Yunque (Puerto Rico),PR,USA,Cigar,ufo 29 years ago,,
6/15/1976,,,Elba,AL,USA,Cigar,We stopped at Dairy Queen had supper. Going to my aunt an uncle three hours away It was dusty dark came to three trundle Bridges shoul,,
6/6/1998,,,Elba,NY,USA,Light,"Saw brief white light travel allong the horizon, stop midflight and then continue on a different course, at extreem rates of exellera",,
4/14/1984,,,Elba,NY,USA,Circle,Multiple ufo,,
9/16/2003,,,Elba,AL,USA,Light,"light in sky changing course moving at rapid rate of speed, no sound. Four witnesses",,
8/13/2001,,,Elbe,WA,USA,Oval,3 blue lights and 1 large orange object in the night sky NW of Mt Ranier.,,
4/11/2023,,,Elberfeld,IN,USA,Light,3 stars orions belt. Inside left of orions belt stars bright light very fast 4 times same star and stop.,,Satellite
11/16/1999,,,Elberfeld,IN,USA,Fireball,"I was traveling home from work on I164 from Evansville, IN to Oakland City, IN. As I was approaching the I64 crossover, I saw a bright",,
7/15/2003,,,Elberfeld,IN,USA,Light,3 orange globes.,,
4/24/2015,,,Elberon,VA,USA,Disk,This is incredible being it was taken with two different games cams. This rules out human error. movement to set them off,,
8/31/2003,,,Elberon,VA,USA,Other,"An object appearing to be wide with four lights, hovering, two on each end, with the outer lights being slightly larger than the 2nd",,
4/25/2020,,,Elbert,CO,USA,Formation,"vertical formation of stars connected by a straight, bright white light.",,
4/24/1949,,,Elbert,CO,USA,Other,String of 5 Total Lights That Slowly Moved In A Span Of About 15 Minutes,,
4/30/2022,,,Elberta,AL,USA,Light,First spotted over water then 6 miles down the road and an hour later the same lights appear at my house ((NUFORC Note: Two planets.)),Y,
4/21/1988,,,Elberta,AL,USA,Fireball,Two bright orange fireballs moving from north to south at a high rate of speed.,,
10/1/2019,,,Elberta,AL,USA,Orb,"The incident took place at 1900 hours on October 1st 2019 in Elberta, Alabama. He primary witness gazed up into the relatively dark sky",,
6/6/2002,,,Elberta,AL,USA,Light,A stationary light no different in appearance then a star started to move in a straight line south at a high rate of speed and then dis,,
4/22/1930,,,Elbow Lake,MN,USA,Circle,"Red ball of light shooting down from the sky slowly then rapidly shot toward the ground, and vanished.",,
1/30/1995,,,Elbridge,NY,USA,Other,"copper colored-top shaped UFO sighted in elbridge,ny",,
9/18/2023,,,Elburn,IL,USA,Oval,"High altitude, 3 contrails, strange shape. Suspected due to the reflection of the Sun but honestly can't tell it is really weird.",Y,Aircraft
4/3/1946,,,Elburn,IL,USA,Fireball,"A large, amber glowing circular flying object was spotted, staying stationary for 40 secs before shifting to the left and disappearing",,
4/17/1990,,,Elburn,IL,USA,Fireball,"Driving west in Elburn, four passengers spotted four bright orange fireballs flying extremely fast in a straight diagonal line.",,
2/19/2002,,,Elcho,WI,USA,Circle,"My mother came into my room,told me to look out the window, East, a cluster of lights( 4or 5) went from N to S in the distance above th",,
4/22/1998,,,Elcho,WI,USA,Triangle,V-like shape craft above Langlade County WI USA,,
7/10/2004,,,Elcho,WI,USA,Diamond,Multi-colored flashing lights hovering over small-town in Wisconsin,,
11/5/2004,,,Elcho,WI,USA,Fireball,clear blue sky big fireball with lots of white smoke looked huge,,
